id,kind,so,denom,season
677956,B,21,44,2025
678009,B,56,213,2025
678011,B,16,73,2025
678225,B,9,25,2025
678246,B,100,569,2025
678391,B,13,66,2025
678489,B,22,77,2025
678554,B,63,264,2025
678662,B,98,390,2025
678882,B,117,587,2025
679529,B,169,649,2025
679822,B,3,9,2025
679845,B,27,188,2025
680474,B,35,213,2025
680574,B,167,577,2025
680700,B,9,48,2025
680716,B,3,10,2025
680718,B,121,502,2025
680728,B,47,131,2025
680737,B,21,110,2025
680757,B,60,693,2025
680776,B,169,696,2025
680777,B,91,464,2025
680779,B,76,283,2025
680869,B,46,101,2025
680977,B,67,515,2025
681082,B,91,560,2025
681146,B,39,125,2025
681297,B,128,360,2025
681351,B,139,451,2025
681393,B,90,337,2025
681481,B,106,464,2025
681508,B,20,110,2025
681546,B,63,148,2025
681624,B,135,624,2025
681715,B,77,294,2025
681807,B,58,157,2025
681909,B,1,2,2025
681987,B,19,90,2025
682177,B,117,422,2025
682515,B,2,9,2025
682622,B,85,360,2025
682626,B,73,277,2025
682634,B,4,12,2025
682641,B,27,184,2025
682657,B,110,484,2025
682663,B,113,585,2025
682668,B,37,193,2025
682729,B,28,112,2025
682829,B,181,699,2025
682848,B,14,57,2025
682927,B,15,88,2025
682928,B,125,635,2025
682985,B,201,655,2025
682988,B,43,116,2025
682997,B,1,6,2025
682998,B,153,642,2025
683002,B,137,651,2025
683011,B,150,596,2025
683021,B,3,25,2025
683083,B,20,92,2025
683146,B,108,432,2025
683227,B,19,121,2025
683357,B,11,27,2025
683734,B,80,447,2025
683737,B,139,592,2025
683748,B,5,38,2025
683766,B,45,191,2025
686217,B,80,594,2025
686452,B,7,55,2025
686469,B,107,682,2025
686475,B,11,57,2025
686527,B,59,269,2025
686554,B,11,41,2025
686555,B,93,441,2025
686611,B,76,322,2025
686668,B,138,538,2025
686681,B,43,277,2025
686765,B,24,104,2025
686780,B,107,389,2025
686797,B,92,527,2025
686823,B,1,13,2025
686894,B,23,61,2025
686948,B,68,446,2025
687221,B,58,155,2025
687231,B,24,197,2025
687263,B,149,554,2025
687363,B,111,463,2025
687401,B,74,506,2025
687462,B,73,411,2025
687515,B,49,132,2025
687529,B,11,26,2025
687551,B,20,109,2025
687597,B,174,588,2025
687637,B,36,137,2025
687859,B,26,121,2025
687952,B,32,137,2025
687957,B,13,43,2025
688363,B,36,184,2025
689414,B,56,390,2025
690022,B,61,207,2025
690291,B,16,55,2025
690924,B,36,120,2025
690976,B,35,97,2025
690984,B,2,8,2025
690993,B,102,468,2025
691011,B,3,3,2025
691016,B,141,624,2025
691019,B,77,297,2025
691023,B,126,396,2025
691026,B,102,537,2025
691176,B,115,429,2025
691182,B,27,128,2025
691373,B,5,9,2025
691406,B,125,653,2025
691594,B,41,342,2025
691718,B,155,647,2025
691720,B,41,156,2025
691723,B,84,294,2025
691728,B,14,37,2025
691777,B,68,220,2025
691781,B,78,274,2025
691783,B,26,74,2025
691785,B,41,136,2025
691907,B,3,7,2025
692216,B,38,138,2025
693304,B,73,408,2025
693307,B,110,469,2025
693409,B,5,6,2025
694192,B,121,589,2025
694203,B,22,43,2025
694208,B,12,66,2025
694212,B,30,118,2025
694362,B,25,75,2025
694374,B,64,225,2025
694376,B,10,32,2025
694377,B,15,72,2025
694384,B,71,564,2025
694388,B,27,104,2025
694497,B,41,220,2025
694671,B,151,573,2025
694728,B,20,47,2025
695238,B,28,149,2025
695257,B,1,6,2025
695336,B,83,295,2025
695391,B,21,84,2025
695506,B,52,232,2025
695578,B,221,689,2025
695600,B,12,69,2025
695657,B,83,284,2025
695670,B,3,8,2025
695681,B,62,184,2025
695734,B,56,351,2025
696030,B,34,176,2025
696100,B,152,579,2025
696285,B,65,364,2025
699625,B,17,46,2025
700246,B,44,106,2025
700250,B,100,530,2025
700337,B,71,403,2025
700932,B,135,531,2025
701305,B,37,109,2025
701350,B,84,303,2025
701358,B,137,493,2025
701398,B,15,58,2025
701538,B,108,483,2025
701675,B,18,65,2025
