date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_pit,f_park,f_wind,wind,p,odds_dk,odds_mgm,odds_czr,fair
2026-08-12,823833,694378,Jacob Gonzalez,Pittsburgh Pirates,Miami Marlins,0,Janson Junk,676083,R,5,156,3.2,1.02,1.07,1.04,0.92,1.0,,9.8,820,650,700,+920
2026-08-12,823672,669236,Jeremiah Jackson,Baltimore Orioles,Minnesota Twins,0,Zebby Matthews,805673,R,7,241,3.2,0.97,1.08,1.15,0.99,0.86,WIND 7 IN,9.7,,,,+931
2026-08-12,824967,641680,Jonah Heim,Athletics,Tampa Bay Rays,1,Drew Rasmussen,656876,R,11,273,3.7,1.19,0.8,0.94,1.0,1.0,,9.7,,,,+931
2026-08-12,823833,680779,Henry Davis,Pittsburgh Pirates,Miami Marlins,0,Janson Junk,676083,R,8,240,3.2,1.05,1.03,1.04,0.92,1.0,,9.7,720,725,700,+931
2026-08-12,823511,642215,Weston Wilson,Seattle Mariners,New York Yankees,0,Will Warren,701542,R,3,108,3.2,0.97,0.98,1.0,1.08,1.0,,9.7,,,,+931
2026-08-12,824562,803011,Sam Antonacci,Chicago White Sox,Cincinnati Reds,1,Rhett Lowder,695076,R,8,390,4.0,0.78,1.04,0.97,1.05,1.0,,9.7,740,775,700,+931
2026-08-12,823672,605137,Josh Bell,Minnesota Twins,Baltimore Orioles,1,Shane Baz,669358,R,16,471,4.0,1.08,1.03,0.86,0.99,0.86,WIND 7 IN,9.6,650,,525,+942
2026-08-12,824241,595879,Javier Báez,Detroit Tigers,Cleveland Guardians,1,Foster Griffin,656492,L,2,122,3.7,0.82,1.03,1.09,0.95,1.0,,9.6,1100,,950,+942
2026-08-12,823672,641933,Tyler O'Neill,Baltimore Orioles,Minnesota Twins,0,Zebby Matthews,805673,R,10,232,3.2,1.22,0.84,1.15,0.99,0.86,WIND 7 IN,9.5,750,,425,+953
2026-08-12,824967,691777,Max Muncy,Athletics,Tampa Bay Rays,1,Drew Rasmussen,656876,R,5,195,3.5,0.92,1.07,0.94,1.0,1.0,,9.5,,,,+953
2026-08-12,824883,805999,A.J. Ewing,New York Mets,Atlanta Braves,0,Tyler Mahle,641816,R,7,329,4.1,0.81,0.92,1.02,1.02,1.0,,9.4,690,625,625,+964
2026-08-12,824562,695731,Braden Montgomery,Chicago White Sox,Cincinnati Reds,1,Rhett Lowder,695076,R,4,208,4.1,0.81,0.94,0.97,1.05,1.0,,9.4,640,650,575,+964
2026-08-12,824562,805367,Chase Meidroth,Chicago White Sox,Cincinnati Reds,1,Rhett Lowder,695076,R,11,475,4.2,0.83,0.9,0.97,1.05,1.0,,9.4,1220,900,1100,+964
2026-08-12,824967,805779,Jacob Wilson,Athletics,Tampa Bay Rays,1,Drew Rasmussen,656876,R,7,332,4.3,0.81,0.97,0.94,1.0,1.0,,9.3,,,,+975
2026-08-12,823916,669242,Tommy Edman,Los Angeles Dodgers,Kansas City Royals,1,Daniel Lynch IV,663738,L,3,165,3.8,0.82,1.07,0.86,1.1,1.0,,9.3,700,400,625,+975
2026-08-12,823263,665487,Fernando Tatis Jr.,San Diego Padres,Milwaukee Brewers,1,Dustin May,669160,R,12,526,4.4,0.82,0.87,0.86,0.98,1.18,WIND 9 OUT,9.2,,,,+987
2026-08-12,823994,694203,Denzer Guzman,Los Angeles Angels,Texas Rangers,1,Cal Quantrill,615698,R,5,167,3.5,0.99,0.87,1.02,1.02,1.0,,9.2,780,500,625,+987
2026-08-12,822779,678218,Brandon Valenzuela,Toronto Blue Jays,Boston Red Sox,1,Ranger Suarez,624133,L,8,218,3.2,1.11,1.0,0.86,1.01,1.0,,9.1,,,,+999
2026-08-12,824883,643289,Mauricio Dubón,Atlanta Braves,New York Mets,1,Zac Thornton,804267,L,10,464,4.1,0.8,0.99,0.93,1.02,1.0,,9.1,830,775,750,+999
2026-08-12,823916,686555,Isaac Collins,Kansas City Royals,Los Angeles Dodgers,0,Eric Lauer,641778,L,6,395,3.7,0.67,0.95,1.19,1.1,1.0,,9.1,,,,+999
2026-08-12,823187,662139,Daulton Varsho,Houston Astros,San Francisco Giants,0,Adrian Houser,605288,R,8,398,3.7,0.77,1.0,1.05,0.91,1.12,WIND 6 OUT,9.0,630,550,625,+1011
2026-08-12,823263,593428,Xander Bogaerts,San Diego Padres,Milwaukee Brewers,1,Dustin May,669160,R,9,455,4.0,0.76,1.01,0.86,0.98,1.18,WIND 9 OUT,9.0,880,900,750,+1011
2026-08-12,824241,800050,Chase DeLauter,Cleveland Guardians,Detroit Tigers,0,Framber Valdez,664285,L,13,434,4.3,0.99,0.84,0.89,0.95,1.0,,9.0,950,650,750,+1011
2026-08-12,824241,701678,Hao-Yu Lee,Detroit Tigers,Cleveland Guardians,1,Foster Griffin,656492,L,6,208,3.2,0.97,0.94,1.09,0.95,1.0,,9.0,740,500,625,+1011
2026-08-12,822779,702332,Caleb Durbin,Boston Red Sox,Toronto Blue Jays,0,José Soriano,667755,R,11,422,3.8,0.9,0.97,0.91,1.01,1.0,,9.0,1100,875,950,+1011
2026-08-12,824883,683146,Brett Baty,New York Mets,Atlanta Braves,0,Tyler Mahle,641816,R,8,379,3.5,0.8,1.04,1.02,1.02,1.0,,9.0,,600,,+1011
2026-08-12,824883,593871,Jorge Polanco,New York Mets,Atlanta Braves,0,Tyler Mahle,641816,R,2,134,3.9,0.8,0.94,1.02,1.02,1.0,,9.0,600,525,525,+1011
2026-08-12,824883,657041,Lane Thomas,Atlanta Braves,New York Mets,1,Zac Thornton,804267,L,10,339,3.3,0.98,0.99,0.93,1.02,1.0,,9.0,523,525,525,+1011
2026-08-12,823672,702616,Jackson Holliday,Baltimore Orioles,Minnesota Twins,0,Zebby Matthews,805673,R,6,228,3.3,0.93,1.01,1.15,0.99,0.86,WIND 7 IN,8.9,1100,,,+1024
