date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2,odds_dk_u
2026-09-11,823736,701398,Sal Stewart,Cincinnati Reds,Milwaukee Brewers,0,Dustin May,669160,R,149,632,146,4.33,4.07,1.05,1.02,1.0,0.2339,66.2,24.2,-204,-210,-213,269,250,225,-196,+313,152
2026-09-11,824954,668227,Randy Arozarena,Seattle Mariners,Athletics,0,Jeffrey Springs,605488,L,140,602,139,4.33,4.07,1.04,1.04,1.0,0.23416,66.2,24.2,-332,-325,-345,159,155,161,-196,+313,
2026-09-11,823736,661388,William Contreras,Milwaukee Brewers,Cincinnati Reds,1,Andrew Abbott,671096,L,141,586,135,4.34,4.08,1.07,1.01,1.0,0.23281,66.1,24.1,-220,-225,-218,243,230,215,-195,+315,164
2026-09-11,824631,665833,Oneil Cruz,Pittsburgh Pirates,Chicago Cubs,0,Shota Imanaga,684007,L,89,367,84,4.37,4.11,1.06,1.01,1.0,0.23024,65.9,24.0,-140,-150,-145,408,360,360,-193,+317,105
2026-09-11,824631,663538,Nico Hoerner,Chicago Cubs,Pittsburgh Pirates,1,Wilber Dotel,696062,R,152,628,144,4.36,4.1,1.07,0.99,1.0,0.23092,65.9,24.0,-249,-225,-245,226,230,191,-193,+317,184
2026-09-11,822930,691406,Junior Caminero,Tampa Bay Rays,Houston Astros,1,Miguel Ullola,699044,R,156,639,146,4.38,4.12,1.08,0.99,0.99,0.22964,65.9,23.9,-266,-250,-250,212,210,181,-193,+318,195
2026-09-11,824631,608324,Alex Bregman,Chicago Cubs,Pittsburgh Pirates,1,Wilber Dotel,696062,R,148,657,144,4.56,4.29,1.03,0.99,1.0,0.22082,65.7,24.0,-226,-200,-225,246,250,220,-192,+317,168
2026-09-11,823817,605141,Mookie Betts,Los Angeles Dodgers,Miami Marlins,0,Ryan Gusto,687473,R,105,461,108,4.27,4.01,1.03,1.04,1.01,0.2342,65.7,23.6,-258,-250,-260,209,200,184,-192,+324,190
2026-09-11,824227,681198,TJ Rumfield,Colorado Rockies,Detroit Tigers,0,Framber Valdez,664285,L,147,578,142,4.07,3.83,1.1,1.02,0.99,0.24258,65.5,23.2,-171,-155,-170,329,340,300,-190,+331,129
2026-09-11,824227,650402,Gleyber Torres,Detroit Tigers,Colorado Rockies,1,Mason Adams,690279,R,87,377,86,4.38,4.12,1.03,1.02,0.99,0.22738,65.5,23.6,-258,-235,-240,220,220,195,-190,+324,190
2026-09-11,822684,682928,CJ Abrams,Washington Nationals,Los Angeles Angels,1,Yusei Kikuchi,579328,L,137,600,139,4.32,4.06,1.03,1.03,1.0,0.23046,65.5,23.5,-175,-160,-173,335,333,290,-190,+326,131
2026-09-11,823736,668930,Brice Turang,Milwaukee Brewers,Cincinnati Reds,1,Andrew Abbott,671096,L,136,617,136,4.54,4.27,1.01,1.01,1.0,0.22075,65.5,23.8,-177,-200,-190,318,260,260,-190,+320,132
2026-09-11,824711,695506,Jac Caglianone,Kansas City Royals,Boston Red Sox,0,Sonny Gray,543243,R,134,510,131,3.89,3.66,1.12,1.01,1.03,0.25158,65.4,22.8,,-210,,,240,,-189,+339,
2026-09-11,824873,621566,Matt Olson,Atlanta Braves,Philadelphia Phillies,1,Aaron Nola,605400,R,141,635,147,4.32,4.06,1.02,1.04,1.0,0.22945,65.3,23.3,-199,-200,-200,292,270,240,-188,+329,149
2026-09-11,824954,703607,Henry Bolte,Athletics,Seattle Mariners,1,George Kirby,669923,R,99,407,104,3.91,3.68,1.06,1.09,1.0,0.24968,65.3,22.7,-293,-325,-320,185,165,172,-188,+341,
2026-09-11,824631,664040,Brandon Lowe,Pittsburgh Pirates,Chicago Cubs,0,Shota Imanaga,684007,L,138,601,137,4.39,4.13,1.04,1.01,1.0,0.22565,65.2,23.4,-128,-135,-134,483,390,400,-187,+327,-103
2026-09-11,824711,668939,Adley Rutschman,Boston Red Sox,Kansas City Royals,1,Seth Lugo,607625,R,75,359,86,4.17,3.92,0.98,1.08,1.03,0.23609,65.2,23.0,-231,-225,-235,255,230,205,-187,+335,171
2026-09-11,822930,670541,Yordan Alvarez,Houston Astros,Tampa Bay Rays,0,Drew Rasmussen,656876,R,162,637,145,4.39,4.13,1.11,0.95,0.99,0.22561,65.2,23.4,-224,-225,-225,262,230,210,-187,+327,166
